Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros,ProjMins,ProjGS
Fabian Schar,3.1,4.2,D,NEW,@BHA,94%,88,1
Amari'i Bell,3.0,3.9,D,LUT,WHU,7%,90,1
Jack Robinson,3.0,3.2,D,SHU,EVE,2%,84,1
Joseph Hodge,3.0,2.8,M,WOL,@CRY,0%,58,0
Lloyd Kelly,2.9,5.8,D,BOU,@BRF,0%,89,0
Oliver Skipp,2.9,2.3,M,TOT,@BUR,2%,81,0
Josh Cullen,2.9,1.8,M,BUR,TOT,4%,90,1
Bertrand Traore,2.9,1.4,M,AVL,@LIV,0%,45,0
Joe Worrall,2.8,6.2,D,NOT,@CHE,9%,88,1
Scott McKenna,2.8,6.1,D,NOT,@CHE,2%,83,0
Lewis Dunk,2.7,3.9,D,BHA,NEW,59%,90,1
Harry Toffolo,2.6,5.5,D,NOT,@CHE,0%,86,0
